question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D005,Schizophrenia,D005,Schizophrenia,True,2 years and 0 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Disorganized_Abnormal_Behavior', 'Negative_Symptoms'], 'duration': '1 year and 8 months'}}","['Schizoaffective Disorder (Depressive Type)', 'Delusional Disorder', 'Schizophrenia', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'Moderately likely option', 'answer', 'Highly likely option']"
D005,Schizophrenia,D005,Schizophrenia,True,2 years and 5 months,"{'psychotic_symptoms': {'symptoms': ['Disorganized_Thinking_Speech', 'Disorganized_Abnormal_Behavior'], 'duration': '2 years and 1 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Posttraumatic Stress Disorder', 'Schizophrenia']","['Highly likely option', 'Highly likely option', 'Less likely option', 'answer']"
D005,Schizophrenia,D005,Schizophrenia,True,1 year and 1 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Negative_Symptoms'], 'duration': '8 months'}}","['Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features', 'Schizophrenia']","['Highly likely option', 'Highly likely option', 'Moderately likely option', 'answer']"
D005,Schizophrenia,D005,Schizophrenia,True,2 years and 2 months,"{'psychotic_symptoms': {'symptoms': ['Disorganized_Thinking_Speech', 'Disorganized_Abnormal_Behavior', 'Negative_Symptoms'], 'duration': '2 years and 2 months'}}","['Posttraumatic Stress Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Schizophrenia']","['Less likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D005,Schizophrenia,D005,Schizophrenia,True,2 years and 1 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Abnormal_Behavior', 'Negative_Symptoms'], 'duration': '2 years and 1 months'}}","['Schizoaffective Disorder (Depressive Type)', 'Schizophrenia', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'answer', 'Moderately likely option', 'Highly likely option']"
D005,Schizophrenia,D005,Schizophrenia,True,2 years and 2 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Negative_Symptoms'], 'duration': '1 year and 9 months'}}","['Delusional Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizophrenia', 'Schizoaffective Disorder (Depressive Type)']","['Moderately likely option', 'Highly likely option', 'answer', 'Highly likely option']"
D005,Schizophrenia,D005,Schizophrenia,True,1 year and 2 months,"{'psychotic_symptoms': {'symptoms': ['Hallucinations', 'Disorganized_Thinking_Speech'], 'duration': '7 months'}}","['Bipolar I Disorder with Psychotic Features', 'Schizophrenia', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['Moderately likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D005,Schizophrenia,D005,Schizophrenia,True,2 years and 4 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Disorganized_Abnormal_Behavior', 'Negative_Symptoms'], 'duration': '1 year and 11 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Schizophrenia', 'Schizoaffective Disorder (Depressive Type)', 'Delusional Disorder']","['Highly likely option', 'answer', 'Highly likely option', 'Moderately likely option']"
D005,Schizophrenia,D005,Schizophrenia,True,1 year and 8 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Disorganized_Thinking_Speech'], 'duration': '1 year and 1 months'}}","['Delusional Disorder', 'Schizophrenia', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)']","['Moderately likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D005,Schizophrenia,D005,Schizophrenia,True,1 year and 2 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Abnormal_Behavior', 'Negative_Symptoms'], 'duration': '2 months'}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Schizophrenia']","['Moderately likely option', 'Highly likely option', 'Highly likely option', 'answer']"
