question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D022,Bulimia Nervosa,D022,Bulimia Nervosa,"['The binge eating and inappropriate compensatory behaviors both occur, on average, at least once a week for 3 months']",1 year and 6 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'compensatory_behavior': {'symptoms': ['Compensatory_Behavior_Purging']}, 'body_image_cognition': {'symptoms': ['Body_Image_Weight_Shape_Disturbance']}}","['Bulimia Nervosa', 'Posttraumatic Stress Disorder', 'Binge-Eating Disorder', 'Anorexia Nervosa']","['answer', 'Less likely option', 'Highly likely option', 'Moderately likely option']"
D022,Bulimia Nervosa,D022,Bulimia Nervosa,"['The binge eating and inappropriate compensatory behaviors both occur, on average, at least once a week for 3 months']",3 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'compensatory_behavior': {'symptoms': ['Compensatory_Behavior_Purging']}, 'body_image_cognition': {'symptoms': ['Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance']}}","['Bulimia Nervosa', 'Binge-Eating Disorder', 'Anorexia Nervosa', 'Delusional Disorder']","['answer', 'Highly likely option', 'Moderately likely option', 'Less likely option']"
D022,Bulimia Nervosa,D022,Bulimia Nervosa,"['The binge eating and inappropriate compensatory behaviors both occur, on average, at least once a week for 3 months']",1 year and 4 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'compensatory_behavior': {'symptoms': ['Compensatory_Behavior_NonPurging', 'Compensatory_Behavior_Purging']}, 'body_image_cognition': {'symptoms': ['Fear_of_Weight_Gain']}}","['Anorexia Nervosa', 'Bipolar I Disorder', 'Bulimia Nervosa', 'Binge-Eating Disorder']","['Moderately likely option', 'Less likely option', 'answer', 'Highly likely option']"
D022,Bulimia Nervosa,D022,Bulimia Nervosa,"['The binge eating and inappropriate compensatory behaviors both occur, on average, at least once a week for 3 months']",5 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'compensatory_behavior': {'symptoms': ['Compensatory_Behavior_Purging']}, 'body_image_cognition': {'symptoms': ['Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance']}}","['Bulimia Nervosa', 'Binge-Eating Disorder', 'Specific Phobia', 'Anorexia Nervosa']","['answer', 'Highly likely option', 'Less likely option', 'Moderately likely option']"
D022,Bulimia Nervosa,D022,Bulimia Nervosa,"['The binge eating and inappropriate compensatory behaviors both occur, on average, at least once a week for 3 months']",7 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'compensatory_behavior': {'symptoms': ['Compensatory_Behavior_NonPurging', 'Compensatory_Behavior_Purging']}, 'body_image_cognition': {'symptoms': ['Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance']}}","['Bulimia Nervosa', 'Binge-Eating Disorder', 'Anorexia Nervosa', 'Bipolar I Disorder with Psychotic Features']","['answer', 'Highly likely option', 'Moderately likely option', 'Less likely option']"
D022,Bulimia Nervosa,D022,Bulimia Nervosa,"['The binge eating and inappropriate compensatory behaviors both occur, on average, at least once a week for 3 months']",9 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'compensatory_behavior': {'symptoms': ['Compensatory_Behavior_Purging']}, 'body_image_cognition': {'symptoms': ['Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance']}}","['Binge-Eating Disorder', 'Major Depressive Disorder with Psychotic Features', 'Anorexia Nervosa', 'Bulimia Nervosa']","['Highly likely option', 'Less likely option', 'Moderately likely option', 'answer']"
D022,Bulimia Nervosa,D022,Bulimia Nervosa,"['The binge eating and inappropriate compensatory behaviors both occur, on average, at least once a week for 3 months']",4 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'compensatory_behavior': {'symptoms': ['Compensatory_Behavior_Purging']}, 'body_image_cognition': {'symptoms': ['Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance']}}","['Anorexia Nervosa', 'Schizoaffective Disorder (Depressive Type)', 'Bulimia Nervosa', 'Binge-Eating Disorder']","['Moderately likely option', 'Less likely option', 'answer', 'Highly likely option']"
D022,Bulimia Nervosa,D022,Bulimia Nervosa,"['The binge eating and inappropriate compensatory behaviors both occur, on average, at least once a week for 3 months']",1 year and 12 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'compensatory_behavior': {'symptoms': ['Compensatory_Behavior_NonPurging']}, 'body_image_cognition': {'symptoms': ['Body_Image_Weight_Shape_Disturbance']}}","['Bipolar I Disorder', 'Anorexia Nervosa', 'Binge-Eating Disorder', 'Bulimia Nervosa']","['Less likely option', 'Moderately likely option', 'Highly likely option', 'answer']"
D022,Bulimia Nervosa,D022,Bulimia Nervosa,"['The binge eating and inappropriate compensatory behaviors both occur, on average, at least once a week for 3 months']",1 year and 3 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'compensatory_behavior': {'symptoms': ['Compensatory_Behavior_NonPurging', 'Compensatory_Behavior_Purging']}, 'body_image_cognition': {'symptoms': ['Body_Image_Weight_Shape_Disturbance']}}","['Bulimia Nervosa', 'Binge-Eating Disorder', 'Posttraumatic Stress Disorder', 'Anorexia Nervosa']","['answer', 'Highly likely option', 'Less likely option', 'Moderately likely option']"
D022,Bulimia Nervosa,D022,Bulimia Nervosa,"['The binge eating and inappropriate compensatory behaviors both occur, on average, at least once a week for 3 months']",1 year,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'compensatory_behavior': {'symptoms': ['Compensatory_Behavior_NonPurging', 'Compensatory_Behavior_Purging']}, 'body_image_cognition': {'symptoms': ['Body_Image_Weight_Shape_Disturbance']}}","['Bulimia Nervosa', 'Anorexia Nervosa', 'Binge-Eating Disorder', 'Major Depressive Disorder']","['answer', 'Moderately likely option', 'Highly likely option', 'Less likely option']"
D022,Bulimia Nervosa,D022,Bulimia Nervosa,"['The binge eating and inappropriate compensatory behaviors both occur, on average, at least once a week for 3 months']",8 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'compensatory_behavior': {'symptoms': ['Compensatory_Behavior_NonPurging']}, 'body_image_cognition': {'symptoms': ['Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance']}}","['Bulimia Nervosa', 'Persistent Depressive Disorder', 'Anorexia Nervosa', 'Binge-Eating Disorder']","['answer', 'Less likely option', 'Moderately likely option', 'Highly likely option']"
